team_key,team_description,team_organization,country,association_description,confederation_description
barcelona,Barcelona,CLUB,SPAIN,FEDERACIóN ESPAñOLA DE FúTBOL,UEFA
espanyol,Espanyol,CLUB,SPAIN,FEDERACIóN ESPAñOLA DE FúTBOL,UEFA
madrid,R. Madrid,CLUB,SPAIN,FEDERACIóN ESPAñOLA DE FúTBOL,UEFA
atletico,AtléTico,CLUB,SPAIN,FEDERACIóN ESPAñOLA DE FúTBOL,UEFA
getafe,Getafe,CLUB,SPAIN,FEDERACIóN ESPAñOLA DE FúTBOL,UEFA
rayo,Rayo,CLUB,SPAIN,FEDERACIóN ESPAñOLA DE FúTBOL,UEFA
betis,Betis,CLUB,SPAIN,FEDERACIóN ESPAñOLA DE FúTBOL,UEFA
sevilla,Sevilla,CLUB,SPAIN,FEDERACIóN ESPAñOLA DE FúTBOL,UEFA
valencia,Valencia,CLUB,SPAIN,FEDERACIóN ESPAñOLA DE FúTBOL,UEFA
levante,Levante,CLUB,SPAIN,FEDERACIóN ESPAñOLA DE FúTBOL,UEFA
malaga,MáLaga,CLUB,SPAIN,FEDERACIóN ESPAñOLA DE FúTBOL,UEFA
athletic,Athletic,CLUB,SPAIN,FEDERACIóN ESPAñOLA DE FúTBOL,UEFA
granada,Granada,CLUB,SPAIN,FEDERACIóN ESPAñOLA DE FúTBOL,UEFA
osasuna,Osasuna,CLUB,SPAIN,FEDERACIóN ESPAñOLA DE FúTBOL,UEFA
celta,Celta,CLUB,SPAIN,FEDERACIóN ESPAñOLA DE FúTBOL,UEFA
realsociedad,R. Sociedad,CLUB,SPAIN,FEDERACIóN ESPAñOLA DE FúTBOL,UEFA
valladolid,Valladolid,CLUB,SPAIN,FEDERACIóN ESPAñOLA DE FúTBOL,UEFA
almeria,Ud AlmeríA,CLUB,SPAIN,FEDERACIóN ESPAñOLA DE FúTBOL,UEFA
elche,Elche Cf,CLUB,SPAIN,FEDERACIóN ESPAñOLA DE FúTBOL,UEFA
villareal,Villarreal Cf,CLUB,SPAIN,FEDERACIóN ESPAñOLA DE FúTBOL,UEFA
